dbo;AcessosPortaria;BASE TABLE
dbo;AdministradorasCartaoCredito;BASE TABLE
dbo;Agenda;BASE TABLE
dbo;AgendaEventos;BASE TABLE
dbo;AgendaEventosAtendimento;BASE TABLE
dbo;AgendaEventosProdutos;BASE TABLE
dbo;AgendaEventosUsuarios;BASE TABLE
dbo;AjusteApuracaoPISCOFINS;BASE TABLE
dbo;AjusteICMS;BASE TABLE
dbo;AjusteICMSDocumentoFiscal;BASE TABLE
dbo;AjusteICMSTabela52;BASE TABLE
dbo;AjusteIPI;BASE TABLE
dbo;ANSServicos;BASE TABLE
dbo;aPagar;BASE TABLE
dbo;aPagarAnexos;BASE TABLE
dbo;aPagarAutorizacoes;BASE TABLE
dbo;aPagarBaixa;BASE TABLE
dbo;aPagarDevolucao;BASE TABLE
dbo;aPagarDistribFinanceira;BASE TABLE
dbo;aPagarPISCOFINS;BASE TABLE
dbo;aPagarRastreamentoEletronico;BASE TABLE
dbo;aPagarRecibo;BASE TABLE
dbo;ApagarReinf;BASE TABLE
dbo;ApuracaoICMS;BASE TABLE
dbo;AreasMesas;BASE TABLE
dbo;aReceber;BASE TABLE
dbo;aReceberAnexos;BASE TABLE
dbo;aReceberBaixa;BASE TABLE
dbo;aReceberCobranca;BASE TABLE
dbo;aReceberCobrancaRepositorio;BASE TABLE
dbo;aReceberConciliador;BASE TABLE
dbo;aReceberDevolvido;BASE TABLE
dbo;aReceberDistribFinanceira;BASE TABLE
dbo;aReceberPortalDocumentos;BASE TABLE
dbo;aReceberProtesto;BASE TABLE
dbo;aReceberRemessaCNAB;BASE TABLE
dbo;aReceberRepositorio;BASE TABLE
dbo;aReceberSERASA;BASE TABLE
dbo;AribaConfiguracao;BASE TABLE
dbo;AribaPedido;BASE TABLE
dbo;AribaPedidoItem;BASE TABLE
dbo;ArquivosImportadosFV;BASE TABLE
dbo;ArquivosNFe;BASE TABLE
dbo;Assuntos;BASE TABLE
dbo;Atendimento;BASE TABLE
dbo;AtendimentoAnexos;BASE TABLE
dbo;AtendimentoIteracao;BASE TABLE
dbo;AtendimentoPrazo;BASE TABLE
dbo;AtendimentoPrioridade;BASE TABLE
dbo;AutorizacaoCompra;BASE TABLE
dbo;BoletimRecebimento;BASE TABLE
dbo;BoletimRecebimentoCarga;BASE TABLE
dbo;BoletimRecebimentoDespesas;BASE TABLE
dbo;BoletimRecebimentoDocumento;BASE TABLE
dbo;Bonificacao;BASE TABLE
dbo;BorderoDesconto;BASE TABLE
dbo;BorderoDescontoaChequesRecebidos;BASE TABLE
dbo;BorderoDescontoaReceber;BASE TABLE
dbo;CAE;BASE TABLE
dbo;CaixaBanco;BASE TABLE
dbo;CalculoMargemContribuicao;BASE TABLE
